[INFO] [1644574228.529511867] [usb_cam]: camera_name value: default_cam
[WARN] [1644574228.529790404] [usb_cam]: framerate: 10.000000
[INFO] [1644574228.536225571] [usb_cam]: using default calibration URL
[INFO] [1644574228.536369182] [usb_cam]: camera calibration URL: file:///home/ubuntu/.ros/camera_info/default_cam.yaml
[ERROR] [1644574228.536590330] [camera_calibration_parsers]: Unable to open camera calibration file [/home/ubuntu/.ros/camera_info/default_cam.yaml]
[WARN] [1644574228.536643108] [usb_cam]: Camera calibration file /home/ubuntu/.ros/camera_info/default_cam.yaml not found
[INFO] [1644574228.536715682] [usb_cam]: Starting 'default_cam' (/dev/video0) at 640x480 via mmap (yuyv) at 10 FPS
[INFO] [1644574229.024890236] [usb_cam]: Capability flag: 0x1000
[INFO] [1644574229.049707753] [usb_cam]: Set framerate to be 10
[INFO] [1644574229.062345919] [usb_cam]: This Cameras Supported Formats:
[INFO] [1644574229.062532641] [usb_cam]:   YUYV 4:2:2[Index: 0, Type: 1, Flags: 0, PixelFormat: 56595559]
[INFO] [1644574229.062604049] [usb_cam]:   width: 640 x height: 480
[INFO] [1644574229.062687345] [usb_cam]:   1 1 / 30
[INFO] [1644574229.062749790] [usb_cam]:   1 1 / 25
[INFO] [1644574229.062807160] [usb_cam]:   1 1 / 20
[INFO] [1644574229.062861716] [usb_cam]:   1 1 / 15
[INFO] [1644574229.062916012] [usb_cam]:   1 1 / 10
[INFO] [1644574229.062970327] [usb_cam]:   1 1 / 5
[INFO] [1644574229.063029234] [usb_cam]:   width: 160 x height: 120
[INFO] [1644574229.063086623] [usb_cam]:   1 1 / 30
[INFO] [1644574229.063141456] [usb_cam]:   1 1 / 25
[INFO] [1644574229.063195678] [usb_cam]:   1 1 / 20
[INFO] [1644574229.063249290] [usb_cam]:   1 1 / 15
[INFO] [1644574229.063302438] [usb_cam]:   1 1 / 10
[INFO] [1644574229.063358104] [usb_cam]:   1 1 / 5
[INFO] [1644574229.063415641] [usb_cam]:   width: 176 x height: 144
[INFO] [1644574229.063491234] [usb_cam]:   1 1 / 30
[INFO] [1644574229.063545327] [usb_cam]:   1 1 / 25
[INFO] [1644574229.063599364] [usb_cam]:   1 1 / 20
[INFO] [1644574229.063652123] [usb_cam]:   1 1 / 15
[INFO] [1644574229.063705678] [usb_cam]:   1 1 / 10
[INFO] [1644574229.063758049] [usb_cam]:   1 1 / 5
[INFO] [1644574229.063814438] [usb_cam]:   width: 320 x height: 176
[INFO] [1644574229.063869697] [usb_cam]:   1 1 / 30
[INFO] [1644574229.063923234] [usb_cam]:   1 1 / 25
[INFO] [1644574229.063977419] [usb_cam]:   1 1 / 20
[INFO] [1644574229.064031104] [usb_cam]:   1 1 / 15
[INFO] [1644574229.064084234] [usb_cam]:   1 1 / 10
[INFO] [1644574229.064136975] [usb_cam]:   1 1 / 5
[INFO] [1644574229.064193623] [usb_cam]:   width: 320 x height: 240
[INFO] [1644574229.064248456] [usb_cam]:   1 1 / 30
[INFO] [1644574229.064301641] [usb_cam]:   1 1 / 25
[INFO] [1644574229.064354901] [usb_cam]:   1 1 / 20
[INFO] [1644574229.064408364] [usb_cam]:   1 1 / 15
[INFO] [1644574229.064461290] [usb_cam]:   1 1 / 10
[INFO] [1644574229.064514586] [usb_cam]:   1 1 / 5
[INFO] [1644574229.064570790] [usb_cam]:   width: 352 x height: 288
[INFO] [1644574229.064626160] [usb_cam]:   1 1 / 30
[INFO] [1644574229.064679567] [usb_cam]:   1 1 / 25
[INFO] [1644574229.064733086] [usb_cam]:   1 1 / 20
[INFO] [1644574229.064785919] [usb_cam]:   1 1 / 15
[INFO] [1644574229.064838660] [usb_cam]:   1 1 / 10
[INFO] [1644574229.064892012] [usb_cam]:   1 1 / 5
[INFO] [1644574229.064948012] [usb_cam]:   width: 432 x height: 240
[INFO] [1644574229.065003104] [usb_cam]:   1 1 / 30
[INFO] [1644574229.065056364] [usb_cam]:   1 1 / 25
[INFO] [1644574229.065108771] [usb_cam]:   1 1 / 20
[INFO] [1644574229.065161919] [usb_cam]:   1 1 / 15
[INFO] [1644574229.065214290] [usb_cam]:   1 1 / 10
[INFO] [1644574229.065267086] [usb_cam]:   1 1 / 5
[INFO] [1644574229.065323327] [usb_cam]:   width: 544 x height: 288
