[INFO] [1644574471.270390064] [usb_cam]: camera_name value: default_cam
[WARN] [1644574471.270653823] [usb_cam]: framerate: 10.000000
[INFO] [1644574471.277318101] [usb_cam]: using default calibration URL
[INFO] [1644574471.277466971] [usb_cam]: camera calibration URL: file:///home/ubuntu/.ros/camera_info/default_cam.yaml
[WARN] [1644574471.299147230] [camera_calibration_parsers]: Exception parsing YAML camera calibration:
yaml-cpp: error at line 177, column 65: illegal map value
[ERROR] [1644574471.299251378] [camera_calibration_parsers]: Failed to parse camera calibration from file [/home/ubuntu/.ros/camera_info/default_cam.yaml]
[WARN] [1644574471.299312989] [usb_cam]: Camera calibration file /home/ubuntu/.ros/camera_info/default_cam.yaml not found
[INFO] [1644574471.299421934] [usb_cam]: Starting 'default_cam' (/dev/video0) at 640x480 via mmap (yuyv) at 10 FPS
[INFO] [1644574471.788798792] [usb_cam]: Capability flag: 0x1000
[INFO] [1644574471.813607217] [usb_cam]: Set framerate to be 10
[INFO] [1644574471.826293439] [usb_cam]: This Cameras Supported Formats:
[INFO] [1644574471.826486828] [usb_cam]:   YUYV 4:2:2[Index: 0, Type: 1, Flags: 0, PixelFormat: 56595559]
[INFO] [1644574471.826555569] [usb_cam]:   width: 640 x height: 480
[INFO] [1644574471.826617717] [usb_cam]:   1 1 / 30
[INFO] [1644574471.826674291] [usb_cam]:   1 1 / 25
[INFO] [1644574471.826727161] [usb_cam]:   1 1 / 20
[INFO] [1644574471.826781365] [usb_cam]:   1 1 / 15
[INFO] [1644574471.826834458] [usb_cam]:   1 1 / 10
[INFO] [1644574471.826887624] [usb_cam]:   1 1 / 5
[INFO] [1644574471.826943347] [usb_cam]:   width: 160 x height: 120
[INFO] [1644574471.826997513] [usb_cam]:   1 1 / 30
[INFO] [1644574471.827047976] [usb_cam]:   1 1 / 25
[INFO] [1644574471.827100606] [usb_cam]:   1 1 / 20
[INFO] [1644574471.827155050] [usb_cam]:   1 1 / 15
[INFO] [1644574471.827206809] [usb_cam]:   1 1 / 10
[INFO] [1644574471.827257902] [usb_cam]:   1 1 / 5
[INFO] [1644574471.827312384] [usb_cam]:   width: 176 x height: 144
[INFO] [1644574471.827366587] [usb_cam]:   1 1 / 30
[INFO] [1644574471.827417772] [usb_cam]:   1 1 / 25
[INFO] [1644574471.827496365] [usb_cam]:   1 1 / 20
